slice,pattern_id,cfu_id,ratio,coverage,selected
1,125,21,27.166666666666668,1.0,False
1,126,12,58.15,1.0,False
1,126,35,29.82051282051282,1.0,False
1,126,45,35.24242424242424,1.0,False
1,151,21,21.88095238095238,1.0,False
1,152,12,75.0,1.0,False
1,152,15,40.54054054054054,1.0,False
1,190,14,12.842105263157896,1.0,False
1,190,34,71.76470588235294,1.0,False
1,248,39,218.48076923076923,1.0,False
1,190,11,13.406593406593407,0.989010989010989,False
1,255,39,91.92307692307692,0.9807692307692307,False
1,293,39,77.73076923076923,0.9807692307692307,False
1,126,15,31.43243243243243,0.972972972972973,False
1,151,14,9.673684210526316,0.968421052631579,False
1,126,47,24.229166666666668,0.9583333333333334,False
1,68,12,13.55,0.95,False
1,151,11,10.098901098901099,0.945054945054945,False
1,319,4,5.484095728567101,0.9409269918206604,False
1,286,4,3.7785431016489253,0.9352953454393654,False
1,285,4,3.3818419577806837,0.9320007472445357,False
1,302,4,1.44189565909996,0.9247311827956989,True
1,314,4,1.423415631388583,0.9179116213241075,True
1,190,46,13.555555555555555,0.9111111111111111,False
1,126,3,6.461111111111111,0.9055555555555556,False
1,315,4,3.155481959212132,0.9027366219278369,False
1,126,1,6.8011695906432745,0.9005847953216374,False
1,152,3,8.333333333333334,0.8888888888888888,False
1,190,21,29.047619047619047,0.8809523809523809,False
1,182,2,3.3444816053511706,0.8528428093645485,False
1,125,54,24.27659574468085,0.8297872340425532,False
1,190,54,25.95744680851064,0.8297872340425532,False
1,255,6,5.235487404162103,0.8148959474260679,False
1,248,48,97.1025641025641,0.8034188034188035,False
1,152,1,8.771929824561404,0.8011695906432749,False
1,255,24,11.979949874686717,0.7894736842105263,False
1,248,24,28.473684210526315,0.7593984962406015,False
1,248,6,12.443592552026287,0.7590361445783133,False
1,152,47,31.25,0.75,False
1,255,27,25.425531914893618,0.75,False
1,293,20,19.52657004830918,0.7439613526570048,False
1,68,35,6.948717948717949,0.7435897435897436,False
1,255,48,40.85470085470085,0.7350427350427351,False
1,293,6,4.427163198247536,0.7283680175246441,False
1,168,2,2.939799331103679,0.725752508361204,True
1,248,27,60.430851063829785,0.7180851063829787,False
1,152,35,38.46153846153846,0.717948717948718,False
1,33,6,11.857142857142858,0.7142857142857143,False
1,293,48,34.547008547008545,0.7094017094017094,False
1,152,14,15.789473684210526,0.7052631578947368,False
1,152,46,16.666666666666668,0.6555555555555556,False
1,293,24,10.130325814536342,0.6516290726817042,False
1,248,4,1.5934336766129742,0.6499427867265205,True
1,68,1,1.5847953216374269,0.6432748538011696,True
1,168,21,20.928571428571427,0.6428571428571429,False
1,152,45,45.45454545454545,0.6363636363636364,False
1,28,2,3.4367816091954024,0.6206896551724138,False
1,293,38,12.71069182389937,0.559748427672956,False
1,248,38,35.72641509433962,0.5566037735849056,False
1,158,2,2.3578595317725752,0.5317725752508361,True
1,182,21,23.80952380952381,0.5238095238095238,False
1,151,2,3.0735785953177257,0.47491638795986624,False
1,125,11,12.538461538461538,0.4725274725274725,False
1,255,38,15.031446540880504,0.4339622641509434,False
1,152,30,71.42857142857143,0.42857142857142855,False
1,255,20,23.091787439613526,0.4251207729468599,False
1,152,2,5.016722408026756,0.4180602006688963,False
1,293,27,21.5,0.4148936170212766,False
1,126,2,3.8896321070234112,0.39464882943143814,False
1,70,2,2.214814814814815,0.3925925925925926,False
1,152,11,16.483516483516482,0.38461538461538464,False
1,208,14,7.968421052631579,0.37894736842105264,False
1,151,46,10.21111111111111,0.36666666666666664,False
1,248,20,54.88405797101449,0.36231884057971014,False
1,208,34,44.529411764705884,0.35294117647058826,False
1,182,15,27.027027027027028,0.35135135135135137,False
1,293,4,4.4787234042553195,0.3401781296387927,False
1,255,4,3.7872384937238492,0.3286610878661088,False
1,151,54,19.5531914893617,0.3191489361702128,False
1,293,8,21.273684210526316,0.3157894736842105,False
1,125,14,12.010526315789473,0.30526315789473685,False
1,255,13,43.06306306306306,0.2972972972972973,False
1,158,21,16.785714285714285,0.2857142857142857,False
1,248,33,93.89256198347107,0.2809917355371901,False
1,182,46,11.11111111111111,0.25555555555555554,False
1,293,13,36.414414414414416,0.24324324324324326,False
1,24,30,2.9047619047619047,0.23809523809523808,False
1,168,46,9.766666666666667,0.23333333333333334,False
1,302,38,39.4811320754717,0.23270440251572327,False
1,152,54,31.914893617021278,0.2127659574468085,False
1,24,22,1.5081967213114753,0.19672131147540983,False
1,64,45,2.0,0.18181818181818182,False
1,68,45,8.212121212121213,0.18181818181818182,False
1,125,34,67.11764705882354,0.17647058823529413,False
1,314,38,39.9937106918239,0.16981132075471697,False
1,27,2,1.1412213740458015,0.16412213740458015,False
1,126,30,55.38095238095238,0.14285714285714285,False
1,293,33,33.40495867768595,0.11570247933884298,False
1,68,47,5.645833333333333,0.10416666666666667,False
1,158,11,7.747252747252747,0.0989010989010989,False
1,165,2,1.15,0.09615384615384616,False
1,190,2,4.080267558528428,0.0903010033444816,False
1,64,1,2.590909090909091,0.07575757575757576,False
1,255,33,39.50413223140496,0.0743801652892562,False
1,125,46,12.677777777777777,0.06666666666666667,False
1,158,54,15.0,0.06382978723404255,False
1,168,54,18.70212765957447,0.06382978723404255,False
1,293,41,84.20833333333333,0.0625,False
1,151,34,54.05882352941177,0.058823529411764705,False
1,255,8,25.157894736842106,0.05789473684210526,False
1,182,3,5.555555555555555,0.05555555555555555,False
1,293,37,63.15625,0.046875,False
1,64,3,2.727272727272727,0.045454545454545456,False
1,168,11,9.659340659340659,0.04395604395604396,False
1,125,4,15.865907099035933,0.04294478527607362,False
1,33,13,1.4415584415584415,0.03896103896103896,False
1,33,24,5.181818181818182,0.03896103896103896,False
1,125,43,14.2625,0.0375,False
1,158,15,19.054054054054053,0.02702702702702703,False
1,165,4,69.62692307692308,0.026923076923076925,False
1,208,4,23.914134742404226,0.02509907529722589,False
1,248,43,142.0125,0.025,False
1,27,21,6.238095238095238,0.023809523809523808,False
1,208,11,8.31868131868132,0.02197802197802198,False
1,152,22,16.304347826086957,0.021739130434782608,False
1,182,54,21.27659574468085,0.02127659574468085,False
1,158,46,7.833333333333333,0.011111111111111112,False
1,248,13,102.35135135135135,0.009009009009009009,False
1,248,8,59.794736842105266,0.005263157894736842,False
2,26,48,27.473684210526315,1.0,False
2,72,43,118.0625,1.0,False
2,72,48,49.71052631578947,1.0,False
2,72,74,67.46428571428571,1.0,False
2,95,48,4.657894736842105,1.0,False
2,138,23,41.705882352941174,1.0,False
2,138,72,19.16216216216216,1.0,False
2,181,43,20.4375,1.0,False
2,186,72,33.567567567567565,1.0,False
2,186,74,44.357142857142854,1.0,False
2,72,2,6.36026936026936,0.9730639730639731,False
2,72,45,29.515625,0.96875,False
2,186,1,3.980769230769231,0.9391025641025641,False
2,138,43,44.3125,0.9375,False
2,186,2,4.181818181818182,0.936026936026936,False
2,277,7,3.63746484966472,0.9346744538178672,False
2,275,7,3.2690513219284605,0.9265163297045101,False
2,26,3,2.9080779944289694,0.9220055710306406,True
2,137,72,15.621621621621621,0.918918918918919,False
2,309,7,1.6997877286970586,0.9173152734256546,True
2,305,7,1.8546376971434875,0.899194882541083,True
2,108,48,10.894736842105264,0.8947368421052632,False
2,291,7,3.9501996711299037,0.8935870331219169,False
2,72,3,5.26183844011142,0.8885793871866295,False
2,26,45,16.3125,0.875,False
2,72,53,3.718503937007874,0.8720472440944882,False
2,108,45,6.46875,0.859375,False
2,26,67,14.704225352112676,0.8591549295774648,False
2,72,67,26.6056338028169,0.8450704225352113,False
2,95,67,2.492957746478873,0.8309859154929577,True
2,113,23,6.0,0.8235294117647058,False
