threshold_set,n_modules,n_modules_with_any_cfu_association,n_module_cfu_edges,n_intramodule_edges,n_nonlocal_edges,n_candidate_upstream_edges,n_modules_with_candidate_upstream,n_unique_upstream_cfus,scope_direction_counts
empirical-FDR q<=0.05,52,8,34,2,32,0,0,0,cross_slice_cfu|candidate_downstream=13; cross_slice_cfu|synchronous=19; intramodule_local_cfu|synchronous=2
q<=0.001,52,3,3,0,3,0,0,0,cross_slice_cfu|candidate_downstream=1; cross_slice_cfu|synchronous=2
