slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
3,221,47,5,9,2105,1147,1042,1.8352223190932868,0.9084568439407149,1,1,1,1
3,145,47,5,9,575,1147,492,1.9947826086956522,0.8556521739130435,1,1,1,1
3,181,6,5,71,374,185,145,2.0216216216216214,0.7837837837837838,1,1,1,1
3,39,53,9,8,98,40,29,2.45,0.725,1,1,1,1
3,180,47,5,9,1918,1147,667,1.6721883173496077,0.5815170008718396,1,1,1,1
