slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
1,4,4,2,37,139,18103,139,130.23741007194243,1.0,1,0,1,0
1,72,12,4,14,1247,20,20,62.35,1.0,1,0,1,0
1,72,35,4,7,1247,39,39,31.974358974358974,1.0,1,0,1,0
1,72,45,4,6,1247,33,33,37.78787878787879,1.0,1,0,1,0
1,73,12,4,14,430,20,20,21.5,1.0,1,0,1,0
1,75,35,4,7,142,39,39,3.641025641025641,1.0,1,0,1,0
1,90,12,3,14,603,20,20,30.15,1.0,1,0,1,0
1,95,34,2,7,97,17,17,5.705882352941177,1.0,1,0,1,0
1,100,12,2,14,368,20,20,18.4,1.0,1,0,1,0
1,101,12,4,14,196,20,20,9.8,1.0,1,0,1,0
1,107,11,4,14,1285,91,91,14.12087912087912,1.0,1,0,1,0
1,107,14,4,14,1285,95,95,13.526315789473685,1.0,1,0,1,0
1,107,21,4,10,1285,42,42,30.595238095238095,1.0,1,0,1,0
1,107,34,4,7,1285,17,17,75.58823529411765,1.0,1,0,1,0
1,108,14,3,14,1250,95,95,13.157894736842104,1.0,1,0,1,0
1,108,21,3,10,1250,42,42,29.761904761904763,1.0,1,0,1,0
1,108,34,3,7,1250,17,17,73.52941176470588,1.0,1,0,1,0
1,112,35,3,7,713,39,39,18.28205128205128,1.0,1,0,1,0
1,114,12,3,14,340,20,20,17.0,1.0,1,0,1,0
1,114,35,3,7,340,39,39,8.717948717948717,1.0,1,0,1,0
1,125,21,7,10,1141,42,42,27.166666666666668,1.0,1,0,1,1
1,126,12,5,14,1163,20,20,58.15,1.0,1,0,1,1
1,126,35,5,7,1163,39,39,29.82051282051282,1.0,1,0,1,1
1,126,45,5,6,1163,33,33,35.24242424242424,1.0,1,0,1,1
1,148,14,3,14,1350,95,95,14.210526315789474,1.0,1,0,1,0
1,148,34,3,7,1350,17,17,79.41176470588235,1.0,1,0,1,0
1,148,46,3,6,1350,90,90,15.0,1.0,1,0,1,0
1,148,54,3,5,1350,47,47,28.72340425531915,1.0,1,0,1,0
1,151,21,5,10,919,42,42,21.88095238095238,1.0,1,0,1,1
1,152,12,6,14,1500,20,20,75.0,1.0,1,0,1,1
1,152,15,6,13,1500,37,37,40.54054054054054,1.0,1,0,1,1
1,173,12,3,14,170,20,20,8.5,1.0,1,0,1,0
1,174,34,2,7,94,17,17,5.529411764705882,1.0,1,0,1,0
1,180,35,2,7,142,39,39,3.641025641025641,1.0,1,0,1,0
1,190,14,6,14,1220,95,95,12.842105263157896,1.0,1,0,1,1
1,190,34,6,7,1220,17,17,71.76470588235294,1.0,1,0,1,1
1,196,12,2,14,460,20,20,23.0,1.0,1,0,1,0
1,196,30,2,8,460,21,21,21.904761904761905,1.0,1,0,1,0
1,197,12,4,14,334,20,20,16.7,1.0,1,0,1,0
1,198,21,2,10,1822,42,42,43.38095238095238,1.0,1,0,1,0
1,211,30,2,8,182,21,21,8.666666666666666,1.0,1,0,1,0
1,213,35,2,7,143,39,39,3.6666666666666665,1.0,1,0,1,0
1,214,15,2,13,121,37,37,3.27027027027027,1.0,1,0,1,0
1,238,12,2,14,1529,20,20,76.45,1.0,1,0,1,0
1,238,35,2,7,1529,39,39,39.205128205128204,1.0,1,0,1,0
1,238,45,2,6,1529,33,33,46.333333333333336,1.0,1,0,1,0
1,239,35,3,7,798,39,39,20.46153846153846,1.0,1,0,1,0
1,239,47,3,6,798,48,48,16.625,1.0,1,0,1,0
1,248,39,5,6,11361,52,52,218.48076923076923,1.0,1,0,1,1
1,252,4,3,37,134,18103,134,135.09701492537314,1.0,1,0,1,0
