slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
9,21,30,10,8,1509,53,53,28.471698113207548,1.0,1,0,1,1
9,74,30,3,8,1363,53,53,25.71698113207547,1.0,1,0,1,0
9,114,30,4,8,1532,53,53,28.90566037735849,1.0,1,0,1,0
9,146,30,2,8,2282,53,53,43.056603773584904,1.0,1,0,1,0
9,150,30,2,8,1329,53,53,25.07547169811321,1.0,1,0,1,0
9,171,30,4,8,1355,53,53,25.566037735849058,1.0,1,0,1,0
9,192,13,4,12,4606,43,43,107.11627906976744,1.0,1,0,1,0
9,192,44,4,5,4606,28,28,164.5,1.0,1,0,1,0
9,198,13,3,12,4133,43,43,96.11627906976744,1.0,1,0,1,0
9,198,44,3,5,4133,28,28,147.60714285714286,1.0,1,0,1,0
9,235,13,2,12,2786,43,43,64.79069767441861,1.0,1,0,1,0
9,235,44,2,5,2786,28,28,99.5,1.0,1,0,1,0
9,30,8,2,21,88,1187,87,13.488636363636363,0.9886363636363636,1,0,1,0
9,305,1,4,115,81,7368,80,90.96296296296296,0.9876543209876543,1,0,1,0
9,81,1,2,115,78,7368,77,94.46153846153847,0.9871794871794872,1,0,1,0
9,75,30,5,8,1558,53,52,29.39622641509434,0.9811320754716981,1,0,1,1
9,141,30,2,8,1101,53,52,20.77358490566038,0.9811320754716981,1,0,1,0
9,199,13,2,12,2431,43,42,56.53488372093023,0.9767441860465116,1,0,1,0
9,293,1,2,115,55,7368,53,133.96363636363637,0.9636363636363636,1,0,1,0
9,164,30,5,8,1558,53,51,29.39622641509434,0.9622641509433962,1,0,1,1
9,229,13,2,12,2563,43,41,59.604651162790695,0.9534883720930233,1,0,1,0
9,140,30,6,8,894,53,50,16.867924528301888,0.9433962264150944,1,0,1,1
9,126,8,2,21,60,1187,55,19.783333333333335,0.9166666666666666,1,0,1,0
9,116,8,4,21,68,1187,62,17.455882352941178,0.9117647058823529,1,0,1,0
9,193,13,3,12,3709,43,39,86.25581395348837,0.9069767441860465,1,0,1,0
9,170,30,2,8,860,53,48,16.22641509433962,0.9056603773584906,1,0,1,0
9,193,44,3,5,3709,28,25,132.46428571428572,0.8928571428571429,1,0,1,0
9,151,30,3,8,535,53,47,10.09433962264151,0.8867924528301887,1,0,1,0
9,226,30,2,8,978,53,47,18.452830188679247,0.8867924528301887,1,0,1,0
9,59,29,2,8,164,39,34,4.205128205128205,0.8717948717948718,1,0,1,0
9,168,30,3,8,671,53,46,12.660377358490566,0.8679245283018868,1,0,1,0
9,136,8,2,21,183,1187,158,6.4863387978142075,0.8633879781420765,1,0,1,0
9,190,13,2,12,3367,43,37,78.30232558139535,0.8604651162790697,1,0,1,0
9,197,44,2,5,3613,28,24,129.03571428571428,0.8571428571428571,1,0,1,0
9,137,8,2,21,173,1187,148,6.861271676300578,0.8554913294797688,1,0,1,0
9,50,30,3,8,922,53,45,17.39622641509434,0.8490566037735849,1,0,1,0
9,196,13,2,12,3692,43,36,85.86046511627907,0.8372093023255814,1,0,1,0
9,197,13,2,12,3613,43,36,84.02325581395348,0.8372093023255814,1,0,1,0
9,200,13,2,12,1230,43,36,28.6046511627907,0.8372093023255814,1,0,1,0
9,115,30,4,8,851,53,44,16.056603773584907,0.8301886792452831,1,0,1,0
9,190,44,2,5,3367,28,23,120.25,0.8214285714285714,1,0,1,0
9,219,1,2,115,176,7368,139,41.86363636363637,0.7897727272727273,1,0,1,0
9,79,8,4,21,56,1187,44,21.196428571428573,0.7857142857142857,1,0,1,0
9,199,44,2,5,2431,28,22,86.82142857142857,0.7857142857142857,1,0,1,0
9,229,44,2,5,2563,28,22,91.53571428571429,0.7857142857142857,1,0,1,0
9,220,1,2,115,163,7368,128,45.20245398773006,0.7852760736196319,1,0,1,0
9,51,30,5,8,360,53,41,6.7924528301886795,0.7735849056603774,1,0,1,1
9,153,30,3,8,970,53,41,18.30188679245283,0.7735849056603774,1,0,1,0
9,217,1,2,115,59,7368,45,124.88135593220339,0.7627118644067796,1,0,1,0
9,276,34,11,6,5530,20,15,276.5,0.75,1,0,1,1
