slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
2,26,3,5,135,1044,359,331,2.9080779944289694,0.9220055710306406,1,1,1,1
2,309,7,5,35,9893,16816,9075,1.6997877286970586,0.9173152734256546,1,1,1,1
2,305,7,6,35,9067,16816,8153,1.8546376971434875,0.899194882541083,1,1,1,1
2,95,67,5,6,177,71,59,2.492957746478873,0.8309859154929577,1,1,1,1
2,302,7,6,35,9910,16816,8136,1.6968718466195762,0.8209889001009082,1,1,1,1
2,26,53,5,7,1044,508,404,2.0551181102362204,0.7952755905511811,1,1,1,1
2,137,1,5,242,578,312,224,1.8525641025641026,0.717948717948718,1,1,1,1
2,138,1,6,242,709,312,198,2.2724358974358974,0.6346153846153846,1,1,1,1
2,138,2,6,173,709,297,187,2.387205387205387,0.6296296296296297,1,1,1,1
2,11,53,9,7,174,508,105,2.9195402298850577,0.603448275862069,1,1,1,1
2,108,53,5,7,414,508,232,1.2270531400966183,0.5603864734299517,1,1,1,1
2,108,3,5,135,414,359,184,1.1532033426183843,0.5125348189415042,1,1,1,1
2,58,76,6,5,83,49,25,1.6938775510204083,0.5102040816326531,1,1,1,1
