slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
6,54,72,5,5,585,27,27,21.666666666666668,1.0,1,0,1,1
6,55,68,6,5,663,62,62,10.693548387096774,1.0,1,0,1,1
6,55,72,6,5,663,27,27,24.555555555555557,1.0,1,0,1,1
6,62,43,3,9,728,117,117,6.222222222222222,1.0,1,0,1,0
6,62,50,3,7,728,13,13,56.0,1.0,1,0,1,0
6,75,8,2,38,494,85,85,5.811764705882353,1.0,1,0,1,0
6,77,11,3,34,4386,176,176,24.920454545454547,1.0,1,0,1,0
6,77,20,3,22,4386,98,98,44.755102040816325,1.0,1,0,1,0
6,77,31,3,13,4386,102,102,43.0,1.0,1,0,1,0
6,77,34,3,12,4386,72,72,60.916666666666664,1.0,1,0,1,0
6,77,63,3,6,4386,29,29,151.24137931034483,1.0,1,0,1,0
6,77,68,3,5,4386,62,62,70.74193548387096,1.0,1,0,1,0
6,77,75,3,5,4386,60,60,73.1,1.0,1,0,1,0
6,79,11,2,34,2995,176,176,17.017045454545453,1.0,1,0,1,0
6,79,68,2,5,2995,62,62,48.306451612903224,1.0,1,0,1,0
6,79,75,2,5,2995,60,60,49.916666666666664,1.0,1,0,1,0
6,80,35,2,11,691,26,26,26.576923076923077,1.0,1,0,1,0
6,97,50,2,7,82,13,13,6.3076923076923075,1.0,1,0,1,0
6,98,43,9,9,412,117,117,3.5213675213675213,1.0,1,0,1,1
6,98,50,9,7,412,13,13,31.692307692307693,1.0,1,0,1,1
6,101,68,8,5,569,62,62,9.17741935483871,1.0,1,0,1,1
6,101,72,8,5,569,27,27,21.074074074074073,1.0,1,0,1,1
6,105,9,3,35,1721,92,92,18.706521739130434,1.0,1,0,1,0
6,105,14,3,31,1721,70,70,24.585714285714285,1.0,1,0,1,0
6,105,21,3,21,1721,73,73,23.575342465753426,1.0,1,0,1,0
6,105,50,3,7,1721,13,13,132.3846153846154,1.0,1,0,1,0
6,105,62,3,6,1721,41,41,41.97560975609756,1.0,1,0,1,0
6,105,67,3,5,1721,44,44,39.11363636363637,1.0,1,0,1,0
6,105,72,3,5,1721,27,27,63.74074074074074,1.0,1,0,1,0
6,107,63,5,6,1853,29,29,63.89655172413793,1.0,1,0,1,1
6,107,68,5,5,1853,62,62,29.887096774193548,1.0,1,0,1,1
6,107,72,5,5,1853,27,27,68.62962962962963,1.0,1,0,1,1
6,108,68,3,5,721,62,62,11.629032258064516,1.0,1,0,1,0
6,109,68,4,5,630,62,62,10.161290322580646,1.0,1,0,1,0
6,116,50,2,7,377,13,13,29.0,1.0,1,0,1,0
6,127,75,6,5,3020,60,60,50.333333333333336,1.0,1,0,1,1
6,128,34,3,12,1347,72,72,18.708333333333332,1.0,1,0,1,0
6,128,35,3,11,1347,26,26,51.80769230769231,1.0,1,0,1,0
6,128,52,3,7,1347,94,94,14.329787234042554,1.0,1,0,1,0
6,128,72,3,5,1347,27,27,49.888888888888886,1.0,1,0,1,0
6,135,43,3,9,409,117,117,3.4957264957264957,1.0,1,0,1,0
6,135,50,3,7,409,13,13,31.46153846153846,1.0,1,0,1,0
6,136,50,3,7,371,13,13,28.53846153846154,1.0,1,0,1,0
6,138,75,3,5,815,60,60,13.583333333333334,1.0,1,0,1,0
6,142,72,5,5,709,27,27,26.25925925925926,1.0,1,0,1,1
6,145,31,5,13,3386,102,102,33.19607843137255,1.0,1,0,1,1
6,145,34,5,12,3386,72,72,47.02777777777778,1.0,1,0,1,1
6,145,35,5,11,3386,26,26,130.23076923076923,1.0,1,0,1,1
6,145,43,5,9,3386,117,117,28.94017094017094,1.0,1,0,1,1
6,145,50,5,7,3386,13,13,260.46153846153845,1.0,1,0,1,1
6,145,52,5,7,3386,94,94,36.02127659574468,1.0,1,0,1,1
6,151,68,5,5,919,62,62,14.82258064516129,1.0,1,0,1,1
