slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
8,31,43,3,5,1066,33,33,32.303030303030305,1.0,1,0,1,0
8,32,43,3,5,1323,33,33,40.09090909090909,1.0,1,0,1,0
8,68,43,7,5,1704,33,33,51.63636363636363,1.0,1,0,1,1
8,72,43,8,5,996,33,33,30.181818181818183,1.0,1,0,1,1
8,92,43,2,5,855,33,33,25.90909090909091,1.0,1,0,1,0
8,100,10,2,18,71,1075,71,15.140845070422536,1.0,1,0,1,0
8,101,10,5,18,118,1075,118,9.110169491525424,1.0,1,0,1,1
8,115,10,3,18,82,1075,82,13.109756097560975,1.0,1,0,1,0
8,150,43,5,5,1301,33,33,39.42424242424242,1.0,1,0,1,1
8,156,43,2,5,1556,33,33,47.15151515151515,1.0,1,0,1,0
8,159,43,8,5,953,33,33,28.87878787878788,1.0,1,0,1,1
8,171,43,2,5,1087,33,33,32.93939393939394,1.0,1,0,1,0
8,172,36,3,6,2302,47,47,48.97872340425532,1.0,1,0,1,0
8,172,43,3,5,2302,33,33,69.75757575757575,1.0,1,0,1,0
8,173,25,5,8,470,45,45,10.444444444444445,1.0,1,0,1,1
8,198,25,2,8,667,45,45,14.822222222222223,1.0,1,0,1,0
8,199,25,3,8,919,45,45,20.42222222222222,1.0,1,0,1,0
8,200,10,2,18,62,1075,62,17.338709677419356,1.0,1,0,1,0
8,208,25,3,8,1028,45,45,22.844444444444445,1.0,1,0,1,0
8,224,2,2,95,75,5234,75,69.78666666666666,1.0,1,0,1,0
8,227,43,4,5,1441,33,33,43.666666666666664,1.0,1,0,1,0
8,240,36,2,6,1760,47,47,37.4468085106383,1.0,1,0,1,0
8,241,27,3,7,2680,25,25,107.2,1.0,1,0,1,0
8,271,25,10,8,14414,45,45,320.31111111111113,1.0,1,0,1,1
8,271,27,10,7,14414,25,25,576.56,1.0,1,0,1,1
