slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
5,5,91,3,5,117,796,117,6.803418803418803,1.0,1,0,1,0
5,11,32,3,13,526,30,30,17.533333333333335,1.0,1,0,1,0
5,12,4,7,53,1040,136,136,7.647058823529412,1.0,1,0,1,1
5,12,48,7,9,1040,24,24,43.333333333333336,1.0,1,0,1,1
5,12,49,7,9,1040,15,15,69.33333333333333,1.0,1,0,1,1
5,30,4,3,53,691,136,136,5.080882352941177,1.0,1,0,1,0
5,30,49,3,9,691,15,15,46.06666666666667,1.0,1,0,1,0
5,31,32,2,13,355,30,30,11.833333333333334,1.0,1,0,1,0
5,37,9,5,37,621,86,86,7.22093023255814,1.0,1,0,1,1
5,48,13,5,27,1218,109,109,11.174311926605505,1.0,1,0,1,1
5,48,20,5,22,1218,59,59,20.64406779661017,1.0,1,0,1,1
5,48,56,5,8,1218,55,55,22.145454545454545,1.0,1,0,1,1
5,48,89,5,5,1218,32,32,38.0625,1.0,1,0,1,1
5,70,49,2,9,107,15,15,7.133333333333334,1.0,1,0,1,0
5,72,49,2,9,93,15,15,6.2,1.0,1,0,1,0
5,90,49,3,9,450,15,15,30.0,1.0,1,0,1,0
5,91,48,2,9,746,24,24,31.083333333333332,1.0,1,0,1,0
5,91,49,2,9,746,15,15,49.733333333333334,1.0,1,0,1,0
5,91,87,2,5,746,43,43,17.348837209302324,1.0,1,0,1,0
5,92,4,6,53,1413,136,136,10.389705882352942,1.0,1,0,1,1
5,92,48,6,9,1413,24,24,58.875,1.0,1,0,1,1
5,92,49,6,9,1413,15,15,94.2,1.0,1,0,1,1
5,110,3,5,94,1274,235,235,5.421276595744681,1.0,1,0,1,1
5,110,80,5,5,1274,22,22,57.90909090909091,1.0,1,0,1,1
5,110,89,5,5,1274,32,32,39.8125,1.0,1,0,1,1
5,112,77,3,5,330,12,12,27.5,1.0,1,0,1,0
5,133,48,3,9,901,24,24,37.541666666666664,1.0,1,0,1,0
5,137,10,3,33,1215,72,72,16.875,1.0,1,0,1,0
5,137,49,3,9,1215,15,15,81.0,1.0,1,0,1,0
5,140,3,5,94,1651,235,235,7.025531914893617,1.0,1,0,1,1
5,140,9,5,37,1651,86,86,19.197674418604652,1.0,1,0,1,1
5,140,13,5,27,1651,109,109,15.146788990825687,1.0,1,0,1,1
5,140,45,5,9,1651,33,33,50.03030303030303,1.0,1,0,1,1
5,140,56,5,8,1651,55,55,30.01818181818182,1.0,1,0,1,1
5,140,77,5,5,1651,12,12,137.58333333333334,1.0,1,0,1,1
5,140,80,5,5,1651,22,22,75.04545454545455,1.0,1,0,1,1
5,148,49,2,9,503,15,15,33.53333333333333,1.0,1,0,1,0
5,149,49,3,9,1452,15,15,96.8,1.0,1,0,1,0
5,149,85,3,5,1452,40,40,36.3,1.0,1,0,1,0
5,150,49,3,9,636,15,15,42.4,1.0,1,0,1,0
5,151,45,6,9,1537,33,33,46.57575757575758,1.0,1,0,1,1
5,151,48,6,9,1537,24,24,64.04166666666667,1.0,1,0,1,1
5,151,57,6,8,1537,27,27,56.925925925925924,1.0,1,0,1,1
5,152,20,3,22,924,59,59,15.661016949152541,1.0,1,0,1,0
5,165,56,5,8,1129,55,55,20.527272727272727,1.0,1,0,1,1
5,165,89,5,5,1129,32,32,35.28125,1.0,1,0,1,1
5,174,9,4,37,1536,86,86,17.86046511627907,1.0,1,0,1,0
5,174,13,4,27,1536,109,109,14.091743119266056,1.0,1,0,1,0
5,174,45,4,9,1536,33,33,46.54545454545455,1.0,1,0,1,0
5,174,80,4,5,1536,22,22,69.81818181818181,1.0,1,0,1,0
5,176,9,3,37,1525,86,86,17.732558139534884,1.0,1,0,1,0
5,176,45,3,9,1525,33,33,46.21212121212121,1.0,1,0,1,0
5,181,49,4,9,1117,15,15,74.46666666666667,1.0,1,0,1,0
5,183,85,2,5,425,40,40,10.625,1.0,1,0,1,0
5,186,13,3,27,1218,109,109,11.174311926605505,1.0,1,0,1,0
5,186,20,3,22,1218,59,59,20.64406779661017,1.0,1,0,1,0
5,186,56,3,8,1218,55,55,22.145454545454545,1.0,1,0,1,0
5,186,89,3,5,1218,32,32,38.0625,1.0,1,0,1,0
5,189,89,3,5,447,32,32,13.96875,1.0,1,0,1,0
5,195,49,4,9,649,15,15,43.266666666666666,1.0,1,0,1,0
5,199,49,2,9,653,15,15,43.53333333333333,1.0,1,0,1,0
5,200,49,3,9,626,15,15,41.733333333333334,1.0,1,0,1,0
5,205,4,3,53,3057,136,136,22.477941176470587,1.0,1,0,1,0
5,205,10,3,33,3057,72,72,42.458333333333336,1.0,1,0,1,0
5,205,33,3,13,3057,45,45,67.93333333333334,1.0,1,0,1,0
5,205,48,3,9,3057,24,24,127.375,1.0,1,0,1,0
5,205,49,3,9,3057,15,15,203.8,1.0,1,0,1,0
5,205,85,3,5,3057,40,40,76.425,1.0,1,0,1,0
5,205,87,3,5,3057,43,43,71.09302325581395,1.0,1,0,1,0
5,205,95,3,5,3057,64,64,47.765625,1.0,1,0,1,0
5,206,4,7,53,3097,136,136,22.772058823529413,1.0,1,0,1,1
5,206,10,7,33,3097,72,72,43.013888888888886,1.0,1,0,1,1
5,206,33,7,13,3097,45,45,68.82222222222222,1.0,1,0,1,1
5,206,48,7,9,3097,24,24,129.04166666666666,1.0,1,0,1,1
5,206,49,7,9,3097,15,15,206.46666666666667,1.0,1,0,1,1
5,206,85,7,5,3097,40,40,77.425,1.0,1,0,1,1
5,206,87,7,5,3097,43,43,72.02325581395348,1.0,1,0,1,1
5,206,95,7,5,3097,64,64,48.390625,1.0,1,0,1,1
5,209,49,4,9,2110,15,15,140.66666666666666,1.0,1,0,1,0
5,209,95,4,5,2110,64,64,32.96875,1.0,1,0,1,0
5,210,49,3,9,929,15,15,61.93333333333333,1.0,1,0,1,0
5,214,56,3,8,825,55,55,15.0,1.0,1,0,1,0
5,218,56,3,8,185,55,55,3.3636363636363638,1.0,1,0,1,0
5,225,77,2,5,336,12,12,28.0,1.0,1,0,1,0
5,226,10,3,33,2151,72,72,29.875,1.0,1,0,1,0
5,226,33,3,13,2151,45,45,47.8,1.0,1,0,1,0
5,226,87,3,5,2151,43,43,50.02325581395349,1.0,1,0,1,0
5,226,95,3,5,2151,64,64,33.609375,1.0,1,0,1,0
5,228,3,7,94,2159,235,235,9.187234042553191,1.0,1,0,1,1
5,228,9,7,37,2159,86,86,25.1046511627907,1.0,1,0,1,1
5,228,13,7,27,2159,109,109,19.807339449541285,1.0,1,0,1,1
5,228,20,7,22,2159,59,59,36.59322033898305,1.0,1,0,1,1
5,228,45,7,9,2159,33,33,65.42424242424242,1.0,1,0,1,1
5,228,56,7,8,2159,55,55,39.25454545454546,1.0,1,0,1,1
5,228,57,7,8,2159,27,27,79.96296296296296,1.0,1,0,1,1
5,228,77,7,5,2159,12,12,179.91666666666666,1.0,1,0,1,1
5,228,80,7,5,2159,22,22,98.13636363636364,1.0,1,0,1,1
5,228,89,7,5,2159,32,32,67.46875,1.0,1,0,1,1
5,229,13,9,27,1695,109,109,15.55045871559633,1.0,1,0,1,1
5,229,20,9,22,1695,59,59,28.728813559322035,1.0,1,0,1,1
5,229,56,9,8,1695,55,55,30.818181818181817,1.0,1,0,1,1
5,229,57,9,8,1695,27,27,62.77777777777778,1.0,1,0,1,1
5,229,77,9,5,1695,12,12,141.25,1.0,1,0,1,1
5,229,80,9,5,1695,22,22,77.04545454545455,1.0,1,0,1,1
5,229,89,9,5,1695,32,32,52.96875,1.0,1,0,1,1
5,231,85,2,5,808,40,40,20.2,1.0,1,0,1,0
5,237,77,4,5,1001,12,12,83.41666666666667,1.0,1,0,1,0
5,237,80,4,5,1001,22,22,45.5,1.0,1,0,1,0
5,238,89,4,5,871,32,32,27.21875,1.0,1,0,1,0
5,239,10,3,33,2213,72,72,30.73611111111111,1.0,1,0,1,0
5,239,25,3,18,2213,121,121,18.289256198347108,1.0,1,0,1,0
5,239,49,3,9,2213,15,15,147.53333333333333,1.0,1,0,1,0
5,239,87,3,5,2213,43,43,51.46511627906977,1.0,1,0,1,0
5,240,13,3,27,1086,109,109,9.963302752293577,1.0,1,0,1,0
5,240,56,3,8,1086,55,55,19.745454545454546,1.0,1,0,1,0
5,240,77,3,5,1086,12,12,90.5,1.0,1,0,1,0
5,240,80,3,5,1086,22,22,49.36363636363637,1.0,1,0,1,0
5,240,89,3,5,1086,32,32,33.9375,1.0,1,0,1,0
5,243,89,3,5,447,32,32,13.96875,1.0,1,0,1,0
5,244,56,3,8,1056,55,55,19.2,1.0,1,0,1,0
5,244,77,3,5,1056,12,12,88.0,1.0,1,0,1,0
5,244,80,3,5,1056,22,22,48.0,1.0,1,0,1,0
5,244,89,3,5,1056,32,32,33.0,1.0,1,0,1,0
5,245,80,3,5,304,22,22,13.818181818181818,1.0,1,0,1,0
5,248,3,4,94,1305,235,235,5.553191489361702,1.0,1,0,1,0
5,248,13,4,27,1305,109,109,11.972477064220184,1.0,1,0,1,0
5,248,80,4,5,1305,22,22,59.31818181818182,1.0,1,0,1,0
5,248,89,4,5,1305,32,32,40.78125,1.0,1,0,1,0
5,249,77,2,5,302,12,12,25.166666666666668,1.0,1,0,1,0
5,251,32,2,13,1456,30,30,48.53333333333333,1.0,1,0,1,0
5,251,88,2,5,1456,134,134,10.865671641791044,1.0,1,0,1,0
5,252,32,2,13,1714,30,30,57.13333333333333,1.0,1,0,1,0
5,252,73,2,6,1714,53,53,32.339622641509436,1.0,1,0,1,0
5,252,88,2,5,1714,134,134,12.791044776119403,1.0,1,0,1,0
5,254,56,2,8,669,55,55,12.163636363636364,1.0,1,0,1,0
5,254,89,2,5,669,32,32,20.90625,1.0,1,0,1,0
5,255,77,3,5,61,12,12,5.083333333333333,1.0,1,0,1,0
5,258,77,2,5,1049,12,12,87.41666666666667,1.0,1,0,1,0
5,258,80,2,5,1049,22,22,47.68181818181818,1.0,1,0,1,0
5,258,89,2,5,1049,32,32,32.78125,1.0,1,0,1,0
5,263,9,3,37,371,86,86,4.313953488372093,1.0,1,0,1,0
5,272,80,2,5,304,22,22,13.818181818181818,1.0,1,0,1,0
5,273,37,3,10,2961,65,65,45.55384615384615,1.0,1,0,1,0
5,273,72,3,6,2961,40,40,74.025,1.0,1,0,1,0
5,273,75,3,6,2961,236,236,12.546610169491526,1.0,1,0,1,0
