slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
12,37,2,2,49,83,21980,83,264.8192771084337,1.0,1,0,1,0
12,118,12,2,7,66,1345,66,20.37878787878788,1.0,1,0,1,0
12,217,2,2,49,53,21980,53,414.7169811320755,1.0,1,0,1,0
12,264,2,2,49,423,21980,423,51.96217494089834,1.0,1,0,1,0
12,349,2,2,49,126,21980,126,174.44444444444446,1.0,1,0,1,0
12,350,2,2,49,55,21980,55,399.6363636363636,1.0,1,0,1,0
12,352,2,3,49,432,21980,432,50.879629629629626,1.0,1,0,1,0
12,353,2,2,49,105,21980,105,209.33333333333334,1.0,1,0,1,0
12,358,2,2,49,482,21980,482,45.601659751037346,1.0,1,0,1,0
12,359,2,2,49,112,21980,112,196.25,1.0,1,0,1,0
12,362,2,2,49,539,21980,539,40.77922077922078,1.0,1,0,1,0
12,363,2,3,49,576,21980,576,38.15972222222222,1.0,1,0,1,0
12,367,2,3,49,149,21980,149,147.51677852348993,1.0,1,0,1,0
12,373,2,3,49,135,21980,135,162.8148148148148,1.0,1,0,1,0
12,374,2,2,49,327,21980,327,67.21712538226299,1.0,1,0,1,0
12,385,2,2,49,59,21980,59,372.54237288135596,1.0,1,0,1,0
12,386,2,2,49,397,21980,397,55.36523929471033,1.0,1,0,1,0
12,389,2,3,49,1226,21980,1226,17.928221859706362,1.0,1,0,1,0
12,391,2,2,49,1185,21980,1185,18.548523206751057,1.0,1,0,1,0
12,392,2,2,49,256,21980,256,85.859375,1.0,1,0,1,0
12,393,2,2,49,273,21980,273,80.51282051282051,1.0,1,0,1,0
12,379,2,3,49,1403,21980,1359,15.666429080541697,0.9686386315039202,1,0,1,0
12,364,2,2,49,251,21980,240,87.56972111553785,0.9561752988047809,1,0,1,0
12,119,12,3,7,268,1345,256,5.018656716417911,0.9552238805970149,1,0,1,0
12,347,2,3,49,67,21980,64,328.05970149253733,0.9552238805970149,1,0,1,0
12,94,12,2,7,256,1345,244,5.25390625,0.953125,1,0,1,0
12,62,1,3,163,69,644,65,9.333333333333334,0.9420289855072463,1,0,1,0
12,365,2,9,49,1601,21980,1486,13.72891942535915,0.9281698938163647,1,0,1,1
12,357,2,11,49,1389,21980,1262,15.824334053275738,0.9085673146148309,1,0,1,1
12,38,1,2,163,174,644,153,3.7011494252873565,0.8793103448275862,1,0,1,0
12,375,2,8,49,1507,21980,1319,14.585268745852687,0.8752488387524884,1,0,1,1
12,366,2,3,49,2042,21980,1749,10.763956904995103,0.856513222331048,1,0,1,0
12,382,2,5,49,2093,21980,1790,10.501672240802675,0.8552317247969422,1,0,1,1
12,383,2,6,49,2192,21980,1864,10.027372262773723,0.8503649635036497,1,0,1,1
12,318,12,3,7,4164,1345,1130,3.095910780669145,0.8401486988847584,1,0,1,0
12,348,2,3,49,75,21980,62,293.06666666666666,0.8266666666666667,1,0,1,0
12,227,2,2,49,88,21980,72,249.77272727272728,0.8181818181818182,1,0,1,0
12,276,2,2,49,90,21980,73,244.22222222222223,0.8111111111111111,1,0,1,0
12,44,1,2,163,370,644,287,1.7405405405405405,0.7756756756756756,1,1,1,0
12,72,1,2,163,51,644,39,12.627450980392156,0.7647058823529411,1,0,1,0
12,351,12,2,7,3197,1345,1014,2.3769516728624533,0.753903345724907,1,1,1,0
12,2,1,2,163,116,644,85,5.551724137931035,0.7327586206896551,1,0,1,0
12,309,12,3,7,10515,1345,974,7.817843866171004,0.7241635687732342,1,0,1,0
12,15,3,2,38,71,410,51,5.774647887323944,0.7183098591549296,1,0,1,0
12,123,12,2,7,120,1345,85,11.208333333333334,0.7083333333333334,1,0,1,0
