slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
5,166,56,5,8,109,55,45,1.981818181818182,0.8181818181818182,1,1,1,1
5,311,7,7,39,6125,14633,4683,2.389061224489796,0.7645714285714286,1,1,1,1
5,7,75,5,6,92,236,67,2.5652173913043477,0.7282608695652174,1,1,1,1
5,159,4,5,53,353,136,99,2.5955882352941178,0.7279411764705882,1,1,1,1
5,33,11,8,29,93,61,40,1.5245901639344261,0.6557377049180327,1,1,1,1
5,41,11,8,29,113,61,36,1.8524590163934427,0.5901639344262295,1,1,1,1
5,109,3,5,94,273,235,131,1.1617021276595745,0.5574468085106383,1,1,1,1
5,57,11,6,29,140,61,33,2.2950819672131146,0.5409836065573771,1,1,1,1
5,23,11,5,29,119,61,31,1.9508196721311475,0.5081967213114754,1,1,1,1
