slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
3,34,52,7,8,776,24,24,32.333333333333336,1.0,1,0,1,1
3,34,70,7,6,776,37,37,20.972972972972972,1.0,1,0,1,1
3,61,52,5,8,170,24,24,7.083333333333333,1.0,1,0,1,1
3,65,52,3,8,387,24,24,16.125,1.0,1,0,1,0
3,76,31,2,13,372,22,22,16.90909090909091,1.0,1,0,1,0
3,84,17,3,23,1128,60,60,18.8,1.0,1,0,1,0
3,84,29,3,16,1128,58,58,19.448275862068964,1.0,1,0,1,0
3,84,42,3,10,1128,100,100,11.28,1.0,1,0,1,0
3,84,52,3,8,1128,24,24,47.0,1.0,1,0,1,0
3,84,70,3,6,1128,37,37,30.486486486486488,1.0,1,0,1,0
3,84,95,3,5,1128,18,18,62.666666666666664,1.0,1,0,1,0
3,92,95,3,5,1406,18,18,78.11111111111111,1.0,1,0,1,0
3,95,52,2,8,257,24,24,10.708333333333334,1.0,1,0,1,0
3,96,76,2,6,583,34,34,17.147058823529413,1.0,1,0,1,0
3,103,46,2,9,568,16,16,35.5,1.0,1,0,1,0
3,114,48,2,8,1458,19,19,76.73684210526316,1.0,1,0,1,0
3,114,78,2,6,1458,75,75,19.44,1.0,1,0,1,0
3,119,2,4,125,2111,347,347,6.083573487031701,1.0,1,0,1,0
3,119,7,4,46,2111,107,107,19.72897196261682,1.0,1,0,1,0
3,119,20,4,21,2111,56,56,37.69642857142857,1.0,1,0,1,0
3,119,31,4,13,2111,22,22,95.95454545454545,1.0,1,0,1,0
3,119,33,4,12,2111,82,82,25.74390243902439,1.0,1,0,1,0
3,119,43,4,9,2111,86,86,24.546511627906977,1.0,1,0,1,0
3,119,52,4,8,2111,24,24,87.95833333333333,1.0,1,0,1,0
3,119,53,4,8,2111,40,40,52.775,1.0,1,0,1,0
3,119,60,4,7,2111,37,37,57.054054054054056,1.0,1,0,1,0
3,119,69,4,6,2111,22,22,95.95454545454545,1.0,1,0,1,0
3,119,76,4,6,2111,34,34,62.088235294117645,1.0,1,0,1,0
3,120,31,4,13,632,22,22,28.727272727272727,1.0,1,0,1,0
3,120,76,4,6,632,34,34,18.58823529411765,1.0,1,0,1,0
3,121,7,3,46,548,107,107,5.121495327102804,1.0,1,0,1,0
3,121,69,3,6,548,22,22,24.90909090909091,1.0,1,0,1,0
3,122,31,4,13,331,22,22,15.045454545454545,1.0,1,0,1,0
3,123,31,3,13,413,22,22,18.772727272727273,1.0,1,0,1,0
3,131,2,2,125,57,347,57,6.087719298245614,1.0,1,0,1,0
3,132,76,4,6,306,34,34,9.0,1.0,1,0,1,0
3,138,60,2,7,353,37,37,9.54054054054054,1.0,1,0,1,0
3,140,48,2,8,493,19,19,25.94736842105263,1.0,1,0,1,0
3,144,76,2,6,459,34,34,13.5,1.0,1,0,1,0
3,145,76,5,6,575,34,34,16.91176470588235,1.0,1,0,1,1
3,152,29,4,16,781,58,58,13.46551724137931,1.0,1,0,1,0
3,152,52,4,8,781,24,24,32.541666666666664,1.0,1,0,1,0
3,152,60,4,7,781,37,37,21.10810810810811,1.0,1,0,1,0
