slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
4,8,70,2,6,223,22,22,10.136363636363637,1.0,1,0,1,0
4,17,84,4,5,279,20,20,13.95,1.0,1,0,1,0
4,25,18,10,27,188,47,47,4.0,1.0,1,0,1,1
4,30,18,4,27,276,47,47,5.872340425531915,1.0,1,0,1,0
4,31,70,2,6,423,22,22,19.227272727272727,1.0,1,0,1,0
4,63,36,3,12,395,37,37,10.675675675675675,1.0,1,0,1,0
4,87,80,3,5,325,22,22,14.772727272727273,1.0,1,0,1,0
4,88,80,3,5,144,22,22,6.545454545454546,1.0,1,0,1,0
4,94,53,3,9,2004,84,84,23.857142857142858,1.0,1,0,1,0
4,94,80,3,5,2004,22,22,91.0909090909091,1.0,1,0,1,0
4,94,88,3,5,2004,14,14,143.14285714285714,1.0,1,0,1,0
4,95,36,4,12,1819,37,37,49.16216216216216,1.0,1,0,1,0
4,95,52,4,9,1819,83,83,21.91566265060241,1.0,1,0,1,0
4,95,70,4,6,1819,22,22,82.68181818181819,1.0,1,0,1,0
4,95,80,4,5,1819,22,22,82.68181818181819,1.0,1,0,1,0
4,101,61,3,7,218,24,24,9.083333333333334,1.0,1,0,1,0
4,123,67,3,7,637,53,53,12.018867924528301,1.0,1,0,1,0
4,132,1,4,218,1560,223,223,6.995515695067264,1.0,1,0,1,0
4,132,9,4,39,1560,135,135,11.555555555555555,1.0,1,0,1,0
4,132,26,4,19,1560,51,51,30.58823529411765,1.0,1,0,1,0
4,132,31,4,14,1560,34,34,45.88235294117647,1.0,1,0,1,0
4,132,38,4,11,1560,52,52,30.0,1.0,1,0,1,0
4,132,44,4,10,1560,36,36,43.333333333333336,1.0,1,0,1,0
4,132,51,4,9,1560,52,52,30.0,1.0,1,0,1,0
4,132,61,4,7,1560,24,24,65.0,1.0,1,0,1,0
4,132,74,4,6,1560,32,32,48.75,1.0,1,0,1,0
4,133,61,2,7,320,24,24,13.333333333333334,1.0,1,0,1,0
4,144,74,4,6,625,32,32,19.53125,1.0,1,0,1,0
4,147,38,6,11,1303,52,52,25.057692307692307,1.0,1,0,1,1
4,157,36,4,12,3289,37,37,88.89189189189189,1.0,1,0,1,0
4,157,44,4,10,3289,36,36,91.36111111111111,1.0,1,0,1,0
4,157,52,4,9,3289,83,83,39.626506024096386,1.0,1,0,1,0
4,157,70,4,6,3289,22,22,149.5,1.0,1,0,1,0
4,157,74,4,6,3289,32,32,102.78125,1.0,1,0,1,0
4,162,84,4,5,962,20,20,48.1,1.0,1,0,1,0
4,166,26,4,19,493,51,51,9.666666666666666,1.0,1,0,1,0
4,177,26,4,19,785,51,51,15.392156862745098,1.0,1,0,1,0
4,177,74,4,6,785,32,32,24.53125,1.0,1,0,1,0
4,178,15,7,30,1753,160,160,10.95625,1.0,1,0,1,1
4,178,16,7,29,1753,76,76,23.06578947368421,1.0,1,0,1,1
4,178,36,7,12,1753,37,37,47.37837837837838,1.0,1,0,1,1
4,178,38,7,11,1753,52,52,33.71153846153846,1.0,1,0,1,1
4,178,52,7,9,1753,83,83,21.120481927710845,1.0,1,0,1,1
4,202,3,9,62,1979,126,126,15.706349206349206,1.0,1,0,1,1
