slice_0based,pattern_id,cfu_id,pattern_n_members,cfu_n_events,Ap_pattern_pixels,Acfu_pixels,overlap_pixels,ratio,coverage,passes_overlap,passes_ratio,passes_coverage,passes_members
1,302,4,5,37,12555,18103,11610,1.44189565909996,0.9247311827956989,1,1,1,1
1,314,4,10,37,12718,18103,11674,1.423415631388583,0.9179116213241075,1,1,1,1
1,168,2,7,73,879,299,217,2.939799331103679,0.725752508361204,1,1,1,1
1,248,4,5,37,11361,18103,7384,1.5934336766129742,0.6499427867265205,1,1,1,1
1,68,1,5,125,271,171,110,1.5847953216374269,0.6432748538011696,1,1,1,1
1,158,2,5,73,705,299,159,2.3578595317725752,0.5317725752508361,1,1,1,1
