slice,pattern_id,cfu_id,ratio,coverage,output
4,338,10,1.0279545845518665,0.5322552898675382,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice04/P338_CFU010.png
4,121,3,2.4705882352941178,0.5098039215686274,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice04/P121_CFU003.png
5,166,56,1.981818181818182,0.8181818181818182,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P166_CFU056.png
5,311,7,2.389061224489796,0.7645714285714286,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P311_CFU007.png
5,7,75,2.5652173913043477,0.7282608695652174,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P007_CFU075.png
5,159,4,2.5955882352941178,0.7279411764705882,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P159_CFU004.png
5,33,11,1.5245901639344261,0.6557377049180327,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P033_CFU011.png
5,41,11,1.8524590163934427,0.5901639344262295,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P041_CFU011.png
5,109,3,1.1617021276595745,0.5574468085106383,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P109_CFU003.png
5,57,11,2.2950819672131146,0.5409836065573771,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P057_CFU011.png
5,23,11,1.9508196721311475,0.5081967213114754,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice05/P023_CFU011.png
6,31,11,2.039772727272727,0.8068181818181818,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P031_CFU011.png
6,316,2,1.6413581300119433,0.7445828356935676,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P316_CFU002.png
6,317,2,1.375051975051975,0.6166320166320166,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P317_CFU002.png
6,187,32,1.5304878048780488,0.6036585365853658,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P187_CFU032.png
6,228,28,1.7954545454545454,0.5909090909090909,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P228_CFU028.png
6,291,2,1.5112266112266113,0.5547817047817047,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P291_CFU002.png
6,298,2,1.2695426195426196,0.5510395010395011,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice06/P298_CFU002.png
7,185,9,2.4761904761904763,0.7891156462585034,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice07/P185_CFU009.png
7,70,50,2.515625,0.609375,/home/cyf/wbi/wbi_code/experiments/motion_pattern_cfu_association/03_cfu_pattern_spatial_overlap/figures/couple_overlays/slice07/P070_CFU050.png
